Subject-3 Types,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3
neg,3.2717506382257016,1.2444321066770114,4.346042420798727
cc,2.4945162406416457,3.556777562562618,0.3126632502552123
con,1.9837052780087034,3.520112663018557,3.226325493794387
emboss,1.7145673349566095,0.6933626687517844,3.2515631825549582
rot,1.6590534050460497,1.8928606071169547,2.7697975178509653
stipple,1.1731166139839786,2.795231342748894,2.7161343722186335
original,0.8383669729592125,2.2364515602715276,2.7687048618441468
poster,0.8249677105321938,2.141846024418298,2.7528416581581707
jitter,0.8121711523191454,2.2053060639730924,2.7397882332190036
smooth,0.7895259566209826,2.1628677554054248,2.7306585874617153
detail,,,
noise1,,,
noise2,,,
