Subject-7 Types,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3
neg,2.6860091916842497,0.638449440852461,0.04926883505217043
emboss,1.3576776234886057,0.052313414384047796,0.34125760180024234
rot,0.2220397620768178,0.46282221504531645,-0.49049293196516597
smooth,0.017099953569023472,-0.3263935427967501,0.0344676557490564
poster,-0.016762333567063692,-0.349960097414902,0.02144505064175754
jitter,-0.017073232098270268,-0.36308823154580516,0.03801327137339376
original,-0.028194416284152514,-0.39623286305456984,0.04266033507397299
stipple,-0.803823434297582,-0.5164104361143622,0.0403775492258297
con,-1.1567192455291093,-0.4821410036784882,-0.02419013497085106
cc,-1.4228344418587826,1.2784524146440046,0.12213823069889271
detail,,,
noise1,,,
noise2,,,
