Subject-5 Types,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3
cc,3.788298457954263,2.300813246882996,0.23545050598645423
con,3.5267545705906196,1.8315869369788316,2.83997714480706
stipple,2.9560262315216463,1.179242408264232,2.433937964959582
original,2.331166391963964,0.8096961287718651,2.5843894744084155
jitter,2.3025571934933557,0.8020323665823643,2.565238208042904
smooth,2.253838211759884,0.7850463430804537,2.5438357384435557
poster,2.219999233785088,0.8203160033913622,2.5925240263924776
rot,2.053499881330398,1.5308266802139066,2.5992560961962177
neg,1.1356807248874226,3.281838477377812,4.575905175206437
emboss,0.7249041031417658,1.7212764073481843,3.32083783114327
detail,,,
noise1,,,
noise2,,,
