Subject-34 Types,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3
con,1.5688290172596644,-1.1808171187790104,0.11627396383655468
stipple,0.6873248383633792,-0.3412623497368459,-0.07520941603576767
original,0.6151967599753407,0.019423001759130348,-0.04253309606993135
jitter,0.6058482812337804,0.04587631514284848,-0.041422200045197366
smooth,0.5954664132624016,0.07795787745944413,-0.044377171083077524
poster,0.5884210515719385,0.050382492130882216,-0.06224672827463368
rot,0.37147809198312676,0.7836620960735513,0.1164493726777932
emboss,-0.09242197775837499,0.5116388225502191,-0.058372561945675285
neg,-0.7668482102342363,1.0514358261892738,-0.08505618938850892
cc,-2.8644009776015844,-0.5010572338385256,-0.4665446346109146
detail,,,
noise1,,,
noise2,,,
