Subject,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3
37,0.5239773723734926,0.1729668601271333,0.3030557674993741
29,0.48630883797904334,0.41941806953190375,0.09427309248905301
4,0.4399125331075169,0.27244948055180007,0.2876379863406832
13,0.43134620972822096,0.15483579591030067,0.41381799436147826
7,0.42467165018731595,0.32079752060374217,0.25453082920894177
2,0.42369413193908584,0.3222264675852396,0.2540794004756747
24,0.41201893870134093,0.1622999148143531,0.425681146484306
23,0.40468101423847974,0.3246718430213192,0.2706471427402012
5,0.4013847123706635,0.2841320509746986,0.31448323665463795
25,0.39878499112185267,0.3068077998152692,0.2944072090628782
28,0.38452053978573125,0.42072662521109894,0.19475283500316973
15,0.37950168840133003,0.26258110417113756,0.3579172074275324
27,0.37431059918599463,0.34094442832547633,0.284744972488529
6,0.3712062061734539,0.3161301826382581,0.31266361118828806
18,0.36078832762937935,0.4401962967593087,0.19901537561131197
34,0.3453695743252409,0.38977837201242604,0.2648520536623331
31,0.3414574399777283,0.3630096000768862,0.2955329599453855
26,0.3413493438938991,0.29654855725554574,0.3621020988505552
36,0.33813389431442115,0.2790075451586983,0.38285856052688066
3,0.335442943709874,0.2511301773800896,0.4134268789100364
10,0.32189779239694977,0.29628741072748693,0.3818147968755632
17,0.3123559295443215,0.36940810067220603,0.31823596978347246
21,0.30878758706513504,0.28396814383084845,0.40724426910401645
20,0.29271135489056954,0.3151477461692662,0.3921408989401643
40,0.2910486729712412,0.4121411812890984,0.29681014573966036
35,0.2881883988807935,0.2848065958256102,0.4270050052935962
32,0.27938377855979324,0.35745125305947645,0.3631649683807303
30,0.27829154426001973,0.246342114222004,0.4753663415179763
8,0.2776686165533355,0.3050796000960577,0.41725178335060686
38,0.27700273794366576,0.28094847426430347,0.44204878779203066
14,0.26853202287435807,0.3302233966736453,0.4012445804519966
39,0.2666338586495847,0.24423144132309074,0.4891347000273246
16,0.2539911949553014,0.3643108212100885,0.3816979838346102
1,0.25023504955413467,0.46473260966161656,0.2850323407842488
19,0.23896771133200662,0.4324388722672967,0.32859341640069667
12,0.23343368841378848,0.38827771906103214,0.3782885925251793
22,0.2226818483594654,0.3746940237657829,0.4026241278747516
33,0.21398527166012882,0.43851072243060185,0.34750400590926933
11,0.2095410131344056,0.407295231547051,0.3831637553185434
9,0.20845431201071293,0.4283761408124676,0.3631695471768195
