Subject,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3
4,15.552532627482396,9.429110179903127,11.790897215977914
22,13.462937563111002,8.292736944459978,10.597538447363599
34,12.290210761330268,7.992143973076979,9.688879157792494
29,12.241337722154261,7.945184284899493,9.376644944437881
13,11.98518789033381,7.123504313405299,9.06007531843295
33,11.773988585692408,7.743351690235221,8.975222184074044
15,10.994049809699066,6.834473274554694,8.30762061891636
9,10.974964011762115,6.70275378333012,8.252501990294533
14,10.555143032670264,6.613412872849894,8.10259837428919
31,10.525083237066012,7.163103493705164,7.751529528878113
24,10.40649710936647,7.824068806077656,7.287381518009529
39,10.377759450298628,8.622659087911131,6.678308679122183
40,10.184549417926526,8.771136893534477,6.6104237359882605
36,10.179112824034563,9.314258037774955,6.5395669953640505
21,10.14055274412151,6.845498689747142,7.770272005054972
35,9.915545043939016,8.554961236851844,6.391851200170378
38,9.911748760778673,8.751405265265861,6.421132718566039
25,9.828782024440892,7.585028032021568,6.8712542261834315
30,9.446139640061395,7.723038298964981,6.520629715904941
37,9.415046650737782,8.564450829340373,6.167379719512981
32,9.111421694921896,8.118127600827215,6.27454693631087
20,8.764148685045857,7.1717016154785815,6.76799350755238
5,8.588536589022942,7.090186568430399,7.453587724269784
3,8.546401407192581,6.978328514583182,7.523718117123551
26,8.502287213001969,7.877760377244935,6.185285054566463
27,8.439927986693373,7.452663001919901,6.279909753354459
23,8.136677012682364,8.136910296404642,6.07595406542265
11,8.082836997076962,7.178487206453614,6.697688344984888
28,7.604616681572633,7.785458669269412,6.093024741044999
19,7.535905368691439,7.607531269384768,6.191893228635487
2,6.994506851421423,7.883623839166346,7.583864662139049
6,6.7270638556473505,8.083727620134587,7.425435496280629
8,6.483732911282392,13.704143795699078,11.602745410181027
16,6.313439843381148,13.298150950391081,10.49638808051826
7,5.826792818929405,12.805133733885825,10.807295588202084
17,5.71004114299558,8.998365336083479,6.9435997954027675
1,5.454868864137021,10.262985023036812,9.105824681831017
12,5.387172866348408,8.846959522805633,7.46542769552167
18,5.2638978062619595,10.185579255648728,7.745164554304713
10,5.045569921586024,9.637304661872458,7.920656964943253
