Subject,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3,Latent-Semantic-4,Latent-Semantic-5
22,154.00811666921973,157.76263023922996,154.46682491719702,56.05800567269585,165.26782304288196
4,138.0742553845575,126.58336186087013,0.0,127.30867998687285,135.2389983202577
34,132.19114947680876,133.42881060700492,121.81953866272849,56.05800567269585,136.79809940200195
17,113.27179701938167,83.69018759687422,142.35167719419397,161.75135239001867,99.20342736014723
37,105.35416460681562,86.39471916731952,141.60508465447137,136.06064824187777,103.40657619319965
29,102.27658578579948,80.68486537139407,132.80436739806413,139.62986786500946,89.34383022906515
24,98.87112824277874,58.534156695044345,125.96031120952345,136.25160549512802,77.79194474151342
1,94.25762568620111,62.05197418293798,127.77323663428112,126.47727068528954,73.86104070031345
33,93.61890834655145,66.4059297051098,128.15615474880636,148.22111860325438,57.4513127207146
40,91.64878613489651,75.30104580947055,138.14123207789916,127.97069977147113,95.56177757520705
18,90.02499652874195,39.820189602762966,130.18448448259878,145.85780747015224,45.60394719758361
39,88.71583849572747,47.29532217883713,138.93883546366726,143.85583060828642,68.26702473864435
10,86.50722513177729,35.272475104534095,137.99637676402958,149.78150753681177,57.67194580845471
3,86.41469782392345,36.60119533567185,136.49542116862384,151.60969625983688,40.314430832312816
15,85.641695452624,35.613866681392565,140.10710188994705,151.84366960792275,39.51016746779647
36,85.31998593530123,35.53656567537187,139.41664176130482,150.68676119686162,38.752892365172876
38,82.03962457251983,48.5926692001993,129.39474487010668,135.06479926316848,69.72842557618333
12,79.94060294994027,45.66560521880777,138.25339055516866,146.33010626661897,59.48658111989063
25,79.44494949334413,44.88148281864124,139.4596715900335,142.19880449567782,29.618462710500683
16,79.33788502348673,51.033787827281735,139.69967788080257,147.05951176309543,35.899675021742034
13,78.7749960330053,49.25187813677751,134.02611685787215,145.86466330129446,42.505529052112664
6,78.63523383318702,35.57031768202263,137.23702124426922,148.12325948344508,54.85848460660708
23,78.3613425101944,45.56476160367797,141.3470905254155,144.05728027420204,27.704151313476412
5,77.77853174237734,28.442002390830524,143.46776641462012,151.4215968744221,47.802928780567434
26,77.48225603323641,41.70068944274177,135.55810562264435,138.60555544421732,45.73969829371405
7,77.46289434303368,26.22684693210382,140.86873322352267,145.81323671052638,48.634555616351626
8,77.33369252790145,27.72088562798832,143.07340773183535,148.80692188201462,48.36789568849704
2,76.56043364558485,63.89168568757591,132.6009049742874,143.52874276603973,45.39955946922852
32,73.45406728017176,52.2220978130905,140.48487463068756,147.32447183003916,39.643242383370676
30,73.16761578731399,61.15511017077788,126.01190419956362,148.06586372287165,47.448779401230965
35,70.5443123150265,39.616252977786715,135.75713609236163,151.05793590540023,57.844504204519474
21,70.40951640225914,54.75990777932343,146.76171162806736,147.0969068335565,27.598067565199973
20,69.93210993527937,54.63284268642821,147.20054347725758,148.43011823750595,26.787808172127054
31,69.93210993527937,54.63284268642821,147.20054347725758,148.43011823750595,26.787808172127054
19,69.93210993527937,54.568741051998,147.21412975662358,148.22786512663535,26.767891213168276
27,69.24232809488716,56.04415669808936,138.98201322473352,146.56568493341135,27.04539393932626
9,52.7114788257738,59.024973528160054,146.54692081377897,141.13645879077453,41.166167338402154
28,52.70199237220544,59.5713647652964,146.54350889752845,141.13291607559165,41.64996998798431
11,35.644073841243234,83.18501968503698,133.5327675141948,136.6693089175474,76.08889537902368
14,35.644073841243234,75.74263990646222,151.1257754322538,137.0054743431809,68.25774681309076
